freq,unit,geo\TIME_PERIOD	2017 	2021 
A,PC,AT11	9.5 	8.2 b
A,PC,AT12	7.6 	7.9 b
A,PC,AT13	6.3 	7.3 b
A,PC,AT21	8.9 	9.5 b
A,PC,AT22	6.9 	8.9 b
A,PC,AT31	8.5 	9.6 b
A,PC,AT32	8.8 	7.5 b
A,PC,AT33	10.2 	9.5 b
A,PC,AT34	11.9 	10.5 b
A,PC,BE10	12.4 b	12.0 b
A,PC,BE21	11.7 b	9.3 b
A,PC,BE22	10.1 b	7.9 b
A,PC,BE23	10.3 b	4.0 b
A,PC,BE24	7.8 b	6.2 b
A,PC,BE25	6.6 b	5.3 b
A,PC,BE31	4.8 b	6.5 b
A,PC,BE32	10.8 b	8.7 b
A,PC,BE33	9.6 b	8.5 b
A,PC,BE34	10.8 b	8.9 b
A,PC,BE35	5.3 b	5.7 b
A,PC,BG31	5.7 	5.8 b
A,PC,BG32	6.6 	4.3 b
A,PC,BG33	12.0 	14.3 b
A,PC,BG34	10.7 	13.4 b
A,PC,BG41	5.9 	5.3 b
A,PC,BG42	9.1 	9.8 b
A,PC,CH01	8.6 	7.6 b
A,PC,CH02	9.5 	7.0 b
A,PC,CH03	9.7 	8.9 b
A,PC,CH04	9.5 	6.5 b
A,PC,CH05	9.2 	9.0 b
A,PC,CH06	9.0 	6.2 b
A,PC,CH07	11.6 	13.1 b
A,PC,CY00	9.5 	12.2 b
A,PC,CZ01	16.8 	14.8 b
A,PC,CZ02	16.7 	16.2 b
A,PC,CZ03	16.2 	14.9 b
A,PC,CZ04	15.2 	17.6 b
A,PC,CZ05	16.6 	14.7 b
A,PC,CZ06	15.1 	16.7 b
A,PC,CZ07	15.4 	15.5 b
A,PC,CZ08	14.5 	12.4 b
A,PC,DE11	9.8 	9.6 b
A,PC,DE12	9.8 	10.0 b
A,PC,DE13	7.5 	7.4 b
A,PC,DE14	9.2 	6.4 b
A,PC,DE21	9.2 	7.3 b
A,PC,DE22	9.8 	8.6 b
A,PC,DE23	8.0 	9.7 b
A,PC,DE24	5.7 	7.0 b
A,PC,DE25	9.4 	7.7 b
A,PC,DE26	10.0 	5.8 b
A,PC,DE27	11.3 	9.9 b
A,PC,DE30	6.9 	5.6 b
A,PC,DE40	1.7 	2.8 b
A,PC,DE50	7.0 	5.8 b
A,PC,DE60	8.0 	5.4 b
A,PC,DE71	9.3 	9.2 b
A,PC,DE72	7.9 	8.5 b
A,PC,DE73	9.1 	9.2 b
A,PC,DE80	2.7 	2.8 b
A,PC,DE91	7.4 	7.2 b
A,PC,DE92	7.7 	7.1 b
A,PC,DE93	8.4 	8.7 b
A,PC,DE94	9.7 	7.5 b
A,PC,DEA1	9.8 	7.7 b
A,PC,DEA2	8.7 	7.6 b
A,PC,DEA3	9.3 	8.0 b
A,PC,DEA4	9.0 	10.6 b
A,PC,DEA5	8.8 	8.3 b
A,PC,DEB1	9.0 	8.4 b
A,PC,DEB2	6.4 	8.4 b
A,PC,DEB3	9.4 	7.5 b
A,PC,DEC0	8.4 	7.2 b
A,PC,DED2	4.0 	4.9 b
A,PC,DED4	6.3 	3.6 b
A,PC,DED5	0.9 	6.7 b
A,PC,DEE0	2.1 	6.6 b
A,PC,DEF0	6.6 	7.4 b
A,PC,DEG0	4.4 	4.1 b
A,PC,DK01	5.1 b	4.9 b
A,PC,DK02	7.8 b	7.7 b
A,PC,DK03	7.1 b	7.8 b
A,PC,DK04	7.5 b	8.4 b
A,PC,DK05	8.5 b	7.4 b
A,PC,EE00	6.5 	3.7 b
A,PC,EL30	17.0 	16.5 b
A,PC,EL41	20.3 	16.7 b
A,PC,EL42	22.6 	18.8 b
A,PC,EL43	18.5 	20.3 b
A,PC,EL51	21.4 	19.3 b
A,PC,EL52	20.6 	21.1 b
A,PC,EL53	23.2 	19.4 b
A,PC,EL54	17.4 	23.8 b
A,PC,EL61	20.9 	19.4 b
A,PC,EL62	16.7 	22.1 b
A,PC,EL63	24.0 	22.9 b
A,PC,EL64	24.8 	30.5 b
A,PC,EL65	23.5 	24.7 b
A,PC,ES11	7.1 	8.1 bd
A,PC,ES12	6.6 	8.1 bd
A,PC,ES13	7.9 	10.1 bd
A,PC,ES21	10.2 	5.5 bd
A,PC,ES22	13.0 	4.5 bd
A,PC,ES23	14.1 	12.6 bd
A,PC,ES24	14.7 	10.2 bd
A,PC,ES30	9.0 	7.5 bd
A,PC,ES41	13.0 	12.3 bd
A,PC,ES42	19.7 	19.2 bd
A,PC,ES43	16.4 	16.7 bd
A,PC,ES51	9.2 	8.3 bd
A,PC,ES52	12.8 	11.6 bd
A,PC,ES53	10.3 	8.2 bd
A,PC,ES61	15.1 	15.5 bd
A,PC,ES62	16.9 	17.5 bd
A,PC,ES63	24.3 	14.5 bd
A,PC,ES64	27.8 	18.3 bd
A,PC,ES70	10.5 	6.6 bd
A,PC,FI19	3.7 	1.3 b
A,PC,FI1B	6.2 	4.7 b
A,PC,FI1C	2.3 	-1.5 b
A,PC,FI1D	1.0 	2.0 b
A,PC,FI20	4.8 	3.7 b
A,PC,FR10	8.2 	5.9 bd
A,PC,FRB0	6.3 	3.1 bd
A,PC,FRC1	7.3 	7.0 bd
A,PC,FRC2	6.4 	11.1 bd
A,PC,FRD1	7.7 	5.1 bd
A,PC,FRD2	7.8 	6.9 bd
A,PC,FRE1	9.1 	7.5 bd
A,PC,FRE2	8.7 	9.2 bd
A,PC,FRF1	9.7 	6.9 bd
A,PC,FRF2	9.9 	8.7 bd
A,PC,FRF3	6.2 	8.2 bd
A,PC,FRG0	4.5 	2.7 bd
A,PC,FRH0	6.0 	4.9 bd
A,PC,FRI1	5.8 	3.4 bd
A,PC,FRI2	2.4 	1.6 bd
A,PC,FRI3	10.2 	5.8 bd
A,PC,FRJ1	9.2 	8.1 bd
A,PC,FRJ2	8.3 	7.0 bd
A,PC,FRK1	7.0 	5.7 bd
A,PC,FRK2	7.9 	6.2 bd
A,PC,FRL0	9.6 	5.5 bd
A,PC,FRM0	8.6 u	16.8 bdu
A,PC,FRY1	8.6 	6.6 bd
A,PC,FRY2	6.7 	4.1 bd
A,PC,FRY3	15.9 	12.9 bd
A,PC,FRY4	10.7 	9.9 bd
A,PC,FRY5	21.0 	: 
A,PC,HR02	17.1 	13.0 b
A,PC,HR03	10.5 	10.3 b
A,PC,HR05	2.2 	3.1 b
A,PC,HR06	11.2 	15.3 b
A,PC,HU11	14.9 	9.6 b
A,PC,HU12	18.1 	9.8 b
A,PC,HU21	16.4 	10.8 b
A,PC,HU22	16.9 	10.9 b
A,PC,HU23	12.5 	10.6 b
A,PC,HU31	15.1 	13.1 b
A,PC,HU32	14.7 	11.1 b
A,PC,HU33	14.3 	10.6 b
A,PC,IE04	11.1 b	11.6 b
A,PC,IE05	12.9 b	10.5 b
A,PC,IE06	11.9 b	9.3 b
A,PC,IS00	6.0 	7.4 b
A,PC,ITC1	14.0 	14.9 b
A,PC,ITC2	9.9 	7.7 b
A,PC,ITC3	17.8 	16.1 b
A,PC,ITC4	17.3 	15.0 b
A,PC,ITF1	25.5 	24.1 b
A,PC,ITF2	19.1 	26.9 b
A,PC,ITF3	28.2 	27.1 b
A,PC,ITF4	28.3 	28.3 b
A,PC,ITF5	26.6 	26.7 b
A,PC,ITF6	23.3 	25.4 b
A,PC,ITG1	25.3 	26.2 b
A,PC,ITG2	17.8 	15.1 b
A,PC,ITH1	14.7 	14.6 b
A,PC,ITH2	11.8 	12.3 b
A,PC,ITH3	19.4 	17.3 b
A,PC,ITH4	16.0 	15.5 b
A,PC,ITH5	14.2 	14.9 b
A,PC,ITI1	13.7 	14.5 b
A,PC,ITI2	17.6 	15.1 b
A,PC,ITI3	17.1 	17.6 b
A,PC,ITI4	17.9 	17.4 b
A,PC,LT01	-1.1 	0.1 b
A,PC,LT02	2.0 	2.1 b
A,PC,LU00	7.9 	7.4 b
A,PC,LV00	4.3 	4.8 b
A,PC,ME00	13.8 	: 
A,PC,MK00	21.9 	: 
A,PC,MT00	24.1 	17.6 b
A,PC,NL11	7.4 	7.5 b
A,PC,NL12	9.4 	5.2 b
A,PC,NL13	11.8 	8.3 b
A,PC,NL21	9.0 	10.0 b
A,PC,NL22	10.4 	8.2 b
A,PC,NL23	12.0 	11.1 b
A,PC,NL31	9.3 	7.7 b
A,PC,NL32	8.5 	7.3 b
A,PC,NL33	11.9 	7.0 b
A,PC,NL34	14.4 	11.2 b
A,PC,NL41	10.6 	10.2 b
A,PC,NL42	12.4 	8.8 b
A,PC,NO02	4.3 	5.1 b
A,PC,NO06	5.5 	2.6 b
A,PC,NO07	2.9 	4.9 b
A,PC,NO08	4.3 	4.4 b
A,PC,NO09	6.1 	4.3 b
A,PC,NO0A	2.4 	6.2 b
A,PC,PL21	13.2 	14.3 b
A,PC,PL22	12.3 	12.0 b
A,PC,PL41	18.3 	16.5 b
A,PC,PL42	13.0 	11.7 b
A,PC,PL43	15.0 	16.2 b
A,PC,PL51	15.0 	12.0 b
A,PC,PL52	20.5 	17.3 b
A,PC,PL61	17.4 	16.1 b
A,PC,PL62	17.2 	15.4 b
A,PC,PL63	16.7 	16.2 b
A,PC,PL71	13.6 	13.6 b
A,PC,PL72	13.5 	14.9 b
A,PC,PL81	13.7 	11.4 b
A,PC,PL82	15.0 	21.0 b
A,PC,PL84	13.6 	11.4 b
A,PC,PL91	9.9 	8.1 b
A,PC,PL92	16.4 	15.6 b
A,PC,PT11	9.6 	8.4 b
A,PC,PT15	0.3 	5.0 b
A,PC,PT16	8.5 	6.4 b
A,PC,PT17	4.3 	1.9 b
A,PC,PT18	8.2 	2.2 b
A,PC,PT20	9.1 	12.4 b
A,PC,PT30	6.1 	6.1 b
A,PC,RO11	17.2 	16.0 b
A,PC,RO12	19.0 	20.7 b
A,PC,RO21	14.0 	21.7 b
A,PC,RO22	22.4 	25.9 b
A,PC,RO31	17.6 	27.3 b
A,PC,RO32	12.6 	10.2 b
A,PC,RO41	17.6 	18.1 b
A,PC,RO42	18.5 	21.9 b
A,PC,RS11	8.3 	11.0 b
A,PC,RS12	16.2 	16.9 b
A,PC,RS21	16.6 	16.7 b
A,PC,RS22	15.2 	14.8 b
A,PC,SE11	4.1 	3.7 b
A,PC,SE12	4.9 	3.9 b
A,PC,SE21	4.3 	7.8 b
A,PC,SE22	4.6 	5.2 b
A,PC,SE23	4.6 	5.9 b
A,PC,SE31	2.2 	7.9 b
A,PC,SE32	3.9 	6.0 b
A,PC,SE33	0.0 	8.9 b
A,PC,SI03	8.8 	9.0 b
A,PC,SI04	5.5 	4.2 b
A,PC,SK01	6.8 	2.7 b
A,PC,SK02	12.8 	9.4 b
A,PC,SK03	13.5 	8.0 b
A,PC,SK04	14.8 	10.4 b
A,PC,TR10	41.6 	38.2 b
A,PC,TR21	41.9 	39.4 b
A,PC,TR22	39.3 	35.8 b
A,PC,TR31	38.7 	37.4 b
A,PC,TR32	33.5 	31.2 b
A,PC,TR33	40.6 	40.3 b
A,PC,TR41	42.1 	38.6 b
A,PC,TR42	43.4 	43.4 b
A,PC,TR51	43.4 	39.4 b
A,PC,TR52	48.4 	47.5 b
A,PC,TR61	38.0 	32.9 b
A,PC,TR62	40.6 	41.1 b
A,PC,TR63	46.5 	42.0 b
A,PC,TR71	46.6 	42.8 b
A,PC,TR72	49.9 	49.0 b
A,PC,TR81	35.6 	36.7 b
A,PC,TR82	31.7 	31.0 b
A,PC,TR83	36.5 	33.0 b
A,PC,TR90	27.6 	29.0 b
A,PC,TRA1	43.1 	42.1 b
A,PC,TRA2	37.8 	33.1 b
A,PC,TRB1	42.7 	41.6 b
A,PC,TRB2	42.0 	38.5 b
A,PC,TRC1	50.2 	51.6 b
A,PC,TRC2	45.2 	47.1 b
A,PC,TRC3	50.0 	40.6 b
A,PC,UKC1	7.3 	: 
A,PC,UKC2	6.9 	: 
A,PC,UKD1	6.2 	: 
A,PC,UKD3	6.5 	: 
A,PC,UKD4	8.8 	: 
A,PC,UKD6	12.1 	: 
A,PC,UKD7	12.0 	: 
A,PC,UKE1	12.8 	: 
A,PC,UKE2	6.2 	: 
A,PC,UKE3	8.8 	: 
A,PC,UKE4	11.5 	: 
A,PC,UKF1	9.7 	: 
A,PC,UKF2	11.6 	: 
A,PC,UKF3	11.5 	: 
A,PC,UKG1	9.4 	: 
A,PC,UKG2	9.1 	: 
A,PC,UKG3	13.0 	: 
A,PC,UKH1	9.4 	: 
A,PC,UKH2	10.4 	: 
A,PC,UKH3	10.6 	: 
A,PC,UKI3	17.5 	: 
A,PC,UKI4	14.9 	: 
A,PC,UKI5	13.9 	: 
A,PC,UKI6	11.8 	: 
A,PC,UKI7	13.3 	: 
A,PC,UKJ1	11.1 	: 
A,PC,UKJ2	10.3 	: 
A,PC,UKJ3	8.4 	: 
A,PC,UKJ4	11.3 	: 
A,PC,UKK1	10.1 	: 
A,PC,UKK2	7.2 	: 
A,PC,UKK3	14.7 	: 
A,PC,UKK4	8.5 	: 
A,PC,UKL1	8.4 	: 
A,PC,UKL2	10.7 	: 
A,PC,UKM5	11.4 	: 
A,PC,UKM6	10.1 	: 
A,PC,UKM7	7.4 	: 
A,PC,UKM8	6.4 	: 
A,PC,UKM9	5.9 	: 
A,PC,UKN0	8.0 	: 
